# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
2062.6855132; 54.5307289; -138.7001730; -1.9182635; 0.0006551; 27.8586113; 5.2355911
2064.6842395; 56.4105973; -139.3790580; -1.9161947; 0.0014145; 28.2317419; 5.1726074
2066.6829658; 58.2925196; -140.0527389; -1.9126981; 0.0020843; 28.5956029; 4.4760096
2068.6816921; 60.1771511; -140.7185557; -1.9078938; 0.0026905; 28.9067664; 3.7571362
2070.6804183; 62.0650786; -141.3741502; -1.9019748; 0.0032332; 29.1653924; 0.3179432
2072.6791446; 63.9575932; -142.0177634; -1.8951118; 0.0036329; 29.1871732; -1.7312247
2074.6778709; 65.8544834; -142.6475507; -1.8874985; 0.0039357; 29.0683778; -3.8254038
2076.6765971; 67.7560708; -143.2623523; -1.8794315; 0.0041373; 28.8041441; -7.3839155
2078.6753234; 69.6629994; -143.8616747; -1.8712003; 0.0040945; 28.2871325; -8.2892923
2080.6740497; 71.5745370; -144.4453267; -1.8631426; 0.0038839; 27.6952309; -9.1490883
2082.6727760; 73.4904974; -145.0141412; -1.8557672; 0.0034964; 27.0268897; -9.8873236
2084.6715022; 75.4104455; -145.5698130; -1.8495241; 0.0027426; 26.2855219; -10.0793639
2086.6702285; 77.3333644; -146.1149466; -1.8448269; 0.0019332; 25.5075848; -10.2516377
2088.6689548; 79.2584032; -146.6526635; -1.8418230; 0.0010728; 24.6912221; -10.6221508
2090.6676811; 81.1845219; -147.1860145; -1.8402147; 0.0005451; 23.8158540; -10.5122846
2092.6664073; 83.1114977; -147.7173187; -1.8395686; 0.0001858; 22.9166434; -10.3822965
2094.6651336; 85.0385204; -148.2478310; -1.8393770; 0.0000058; 21.9924943; -10.5055302
2096.6638599; 86.9650806; -148.7786297; -1.8401992; -0.0008490; 21.0160522; -10.1951692
2098.6625861; 88.8897237; -149.3121963; -1.8420991; -0.0002917; 20.0229804; -9.8646164
2100.6613124; 90.8170853; -149.8474132; -1.8405119; 0.0018669; 19.0127959; -9.2214918
2102.6600387; 92.7424697; -150.3728592; -1.8323964; 0.0063394; 18.0173231; -8.4303335
2104.6587650; 94.6777890; -150.8747050; -1.8149024; 0.0116053; 17.0564965; -7.6176026
2106.6574912; 96.6254332; -151.3316015; -1.7854758; 0.0177826; 16.1391781; -6.3235508
2108.6562175; 98.5835692; -151.7175174; -1.7428650; 0.0249894; 15.3360677; -5.5584534
2110.6549438; 100.5618002; -152.0058270; -1.6858372; 0.0320127; 14.5936740; -4.6768117
2112.6536701; 102.5546469; -152.1670101; -1.6148418; 0.0389793; 13.9384356; -3.8662507
2114.6523963; 104.5483618; -152.1736594; -1.5319385; 0.0436701; 13.3725403; -3.4707510
2116.6511226; 106.5419848; -152.0062330; -1.4409569; 0.0470041; 12.8433123; -3.0189923
2118.6498489; 108.5066600; -151.6533815; -1.3442380; 0.0499753; 12.3645620; -2.9284808
2120.6485751; 110.4379835; -151.1022646; -1.2399457; 0.0545234; 11.8817478; -2.8270775
2122.6473014; 112.2826984; -150.3480451; -1.1219368; 0.0650240; 11.3962635; -0.8942245
2124.6460277; 114.0394203; -149.3510782; -0.9854034; 0.0708065; 11.2383363; -0.8385607
2126.6447540; 115.6073809; -148.1366021; -0.8344741; 0.0812337; 11.0881962; -0.8146997
2128.6434802; 116.9654095; -146.6859516; -0.6704464; 0.0810658; 10.9403552; 1.4807436
2130.6422065; 118.0745859; -145.0477975; -0.5252918; 0.0651752; 11.2076123; 1.6079460
2132.6409328; 118.9733829; -143.2560980; -0.4086338; 0.0535387; 11.4907903; 1.6207049
2134.6396591; 119.6729812; -141.3753976; -0.3043862; 0.0512334; 11.7693225; 2.0302055
2136.6383853; 120.1785979; -139.4332525; -0.2073964; 0.0448234; 12.1091950; 2.4171425
2138.6371116; 120.5056315; -137.4623617; -0.1232902; 0.0389543; 12.5018005; 3.2067132
2140.6358379; 120.6798084; -135.4732612; -0.0545426; 0.0295218; 13.0043723; 4.0733497
2142.6345641; 120.7365613; -133.4768689; -0.0054951; 0.0197904; 13.6160465; 4.6682026
2144.6332904; 120.7144637; -131.4799944; 0.0245302; 0.0108583; 14.2848745; 5.4099308
2146.6320167; 120.6477716; -129.4818413; 0.0401660; 0.0047574; 15.0227688; 5.5196916
2148.6307430; 120.5614005; -127.4817143; 0.0447802; 0.0004376; 15.7400218; 5.6104756
2150.6294692; 120.4734865; -125.4864797; 0.0420514; -0.0033827; 16.4370282; 5.4367302
2152.6281955; 120.3994868; -123.4871536; 0.0302251; -0.0085272; 17.0853437; 4.7826347
2154.6269218; 120.3595405; -121.4883747; 0.0081603; -0.0133452; 17.6359667; 4.2276388
2156.6256480; 120.3726909; -119.4946663; -0.0226035; -0.0167941; 18.1087578; 3.3645937
2158.6243743; 120.4518596; -117.4980763; -0.0568979; -0.0175114; 18.4763880; 2.6058315
2160.6231006; 120.6013978; -115.5032796; -0.0932980; -0.0190696; 18.7561616; 2.2390735
2162.6218269; 120.8268241; -113.5166896; -0.1331731; -0.0204507; 18.9932670; 1.9194101
2164.6205531; 121.1324011; -111.5446948; -0.1744594; -0.0209357; 19.1941903; 1.6963872
2166.6192794; 121.5210403; -109.5806496; -0.2161869; -0.0207611; 19.3700327; 1.7191695
2168.6180057; 121.9902887; -107.6373536; -0.2577226; -0.0208592; 19.5466229; 1.7878396
2170.6167320; 122.5388035; -105.7195991; -0.2994977; -0.0210556; 19.7285902; 1.9724905
2172.6154582; 123.1682382; -103.8236155; -0.3414896; -0.0208082; 19.9274235; 2.2734754
2174.6141845; 123.8731295; -101.9602862; -0.3810919; -0.0187129; 20.1541638; 2.5179519
2176.6129108; 124.6490037; -100.1198943; -0.4161776; -0.0167297; 20.4023457; 2.7605397
2178.6116370; 125.4898293; -98.2987935; -0.4485357; -0.0155454; 20.6710144; 3.1282939
2180.6103633; 126.3809326; -96.5161592; -0.4781099; -0.0141669; 20.9713148; 3.3574071
